TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,COLUMN_NAME,ENGINE_ATTRIBUTE,SECONDARY_ENGINE_ATTRIBUTE
information_schema,COLUMNS_EXTENSIONS,def,SECONDARY_ENGINE_ATTRIBUTE,NULL,NULL
information_schema,COLUMN_PRIVILEGES,def,GRANTEE,NULL,NULL
information_schema,COLUMN_PRIVILEGES,def,TABLE_CATALOG,NULL,NULL
information_schema,COLUMN_PRIVILEGES,def,TABLE_SCHEMA,NULL,NULL
information_schema,COLUMN_PRIVILEGES,def,TABLE_NAME,NULL,NULL
information_schema,COLUMN_PRIVILEGES,def,COLUMN_NAME,NULL,NULL
information_schema,COLUMN_PRIVILEGES,def,PRIVILEGE_TYPE,NULL,NULL
information_schema,COLUMN_PRIVILEGES,def,IS_GRANTABLE,NULL,NULL
information_schema,COLUMN_STATISTICS,def,SCHEMA_NAME,NULL,NULL
information_schema,COLUMN_STATISTICS,def,TABLE_NAME,NULL,NULL
information_schema,COLUMN_STATISTICS,def,COLUMN_NAME,NULL,NULL
information_schema,COLUMN_STATISTICS,def,HISTOGRAM,NULL,NULL
information_schema,ENABLED_ROLES,def,ROLE_NAME,NULL,NULL
information_schema,ENABLED_ROLES,def,ROLE_HOST,NULL,NULL
information_schema,ENABLED_ROLES,def,IS_DEFAULT,NULL,NULL
information_schema,ENABLED_ROLES,def,IS_MANDATORY,NULL,NULL
information_schema,ENGINES,def,ENGINE,NULL,NULL
information_schema,ENGINES,def,SUPPORT,NULL,NULL
information_schema,ENGINES,def,COMMENT,NULL,NULL
information_schema,ENGINES,def,TRANSACTIONS,NULL,NULL
information_schema,ENGINES,def,XA,NULL,NULL
information_schema,ENGINES,def,SAVEPOINTS,NULL,NULL
information_schema,EVENTS,def,EVENT_CATALOG,NULL,NULL
information_schema,EVENTS,def,EVENT_SCHEMA,NULL,NULL
information_schema,EVENTS,def,EVENT_NAME,NULL,NULL
information_schema,EVENTS,def,DEFINER,NULL,NULL
information_schema,EVENTS,def,TIME_ZONE,NULL,NULL
information_schema,EVENTS,def,EVENT_BODY,NULL,NULL
information_schema,EVENTS,def,EVENT_DEFINITION,NULL,NULL
information_schema,EVENTS,def,EVENT_TYPE,NULL,NULL
information_schema,EVENTS,def,EXECUTE_AT,NULL,NULL
information_schema,EVENTS,def,INTERVAL_VALUE,NULL,NULL
information_schema,EVENTS,def,INTERVAL_FIELD,NULL,NULL
information_schema,EVENTS,def,SQL_MODE,NULL,NULL
information_schema,EVENTS,def,STARTS,NULL,NULL
information_schema,EVENTS,def,ENDS,NULL,NULL
information_schema,EVENTS,def,STATUS,NULL,NULL
information_schema,EVENTS,def,ON_COMPLETION,NULL,NULL
information_schema,EVENTS,def,CREATED,NULL,NULL
information_schema,EVENTS,def,LAST_ALTERED,NULL,NULL
information_schema,EVENTS,def,LAST_EXECUTED,NULL,NULL
information_schema,EVENTS,def,EVENT_COMMENT,NULL,NULL
information_schema,EVENTS,def,ORIGINATOR,NULL,NULL
information_schema,EVENTS,def,CHARACTER_SET_CLIENT,NULL,NULL
information_schema,EVENTS,def,COLLATION_CONNECTION,NULL,NULL
information_schema,EVENTS,def,DATABASE_COLLATION,NULL,NULL
information_schema,FILES,def,FILE_ID,NULL,NULL
information_schema,FILES,def,FILE_NAME,NULL,NULL
information_schema,FILES,def,FILE_TYPE,NULL,NULL
information_schema,FILES,def,TABLESPACE_NAME,NULL,NULL
information_schema,FILES,def,TABLE_CATALOG,NULL,NULL
information_schema,FILES,def,TABLE_SCHEMA,NULL,NULL
information_schema,FILES,def,TABLE_NAME,NULL,NULL
information_schema,FILES,def,LOGFILE_GROUP_NAME,NULL,NULL
information_schema,FILES,def,LOGFILE_GROUP_NUMBER,NULL,NULL
information_schema,FILES,def,ENGINE,NULL,NULL
information_schema,FILES,def,FULLTEXT_KEYS,NULL,NULL
information_schema,FILES,def,DELETED_ROWS,NULL,NULL
information_schema,FILES,def,UPDATE_COUNT,NULL,NULL
information_schema,FILES,def,FREE_EXTENTS,NULL,NULL
information_schema,FILES,def,TOTAL_EXTENTS,NULL,NULL
information_schema,FILES,def,EXTENT_SIZE,NULL,NULL
information_schema,FILES,def,INITIAL_SIZE,NULL,NULL
information_schema,FILES,def,MAXIMUM_SIZE,NULL,NULL
information_schema,FILES,def,AUTOEXTEND_SIZE,NULL,NULL
information_schema,FILES,def,CREATION_TIME,NULL,NULL
information_schema,FILES,def,LAST_UPDATE_TIME,NULL,NULL
information_schema,FILES,def,LAST_ACCESS_TIME,NULL,NULL
information_schema,FILES,def,RECOVER_TIME,NULL,NULL
information_schema,FILES,def,TRANSACTION_COUNTER,NULL,NULL
information_schema,FILES,def,VERSION,NULL,NULL
information_schema,FILES,def,ROW_FORMAT,NULL,NULL
information_schema,FILES,def,TABLE_ROWS,NULL,NULL
information_schema,FILES,def,AVG_ROW_LENGTH,NULL,NULL
information_schema,FILES,def,DATA_LENGTH,NULL,NULL
information_schema,FILES,def,MAX_DATA_LENGTH,NULL,NULL
information_schema,FILES,def,INDEX_LENGTH,NULL,NULL
information_schema,FILES,def,DATA_FREE,NULL,NULL
information_schema,FILES,def,CREATE_TIME,NULL,NULL
information_schema,FILES,def,UPDATE_TIME,NULL,NULL
information_schema,FILES,def,CHECK_TIME,NULL,NULL
information_schema,FILES,def,CHECKSUM,NULL,NULL
information_schema,FILES,def,STATUS,NULL,NULL
information_schema,FILES,def,EXTRA,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,POOL_ID,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,BLOCK_ID,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,SPACE,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,PAGE_NUMBER,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,PAGE_TYPE,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,FLUSH_TYPE,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,FIX_COUNT,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,IS_HASHED,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,NEWEST_MODIFICATION,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,OLDEST_MODIFICATION,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,ACCESS_TIME,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,TABLE_NAME,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,INDEX_NAME,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,NUMBER_RECORDS,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,DATA_SIZE,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,COMPRESSED_SIZE,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,PAGE_STATE,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,IO_FIX,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,IS_OLD,NULL,NULL
information_schema,INNODB_BUFFER_PAGE,def,FREE_PAGE_CLOCK,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,POOL_ID,NULL,NULL
