TABLESPACE_NAME,ENGINE_ATTRIBUTE
mysql,NULL
innodb_system,NULL
innodb_temporary,NULL
innodb_undo_001,NULL
innodb_undo_002,NULL
sys/sys_config,NULL
acuart/artists,NULL
acuart/carts,NULL
acuart/categ,NULL
acuart/featured,NULL
acuart/guestbook,NULL
acuart/pictures,NULL
acuart/users,NULL
acuart/products,NULL

